from,to,weight
*CCN1CCCC1,*CCN1CCCCC1,50
*CCN1CCCC1,*CCN(CC)CC,25
*c1cc[nH]n1,*c1cccnc1,47
*c1cc[nH]n1,*c1cccnc1,47
*OCCCN1CCCCC1,*OC,48
*OCCCN1CCCCC1,*OC,48
*OCCCN1CCCCC1,*OCCCN1CCCC1,31
*C(=O)N(CC)CC,*C(=O)N1CCOCC1,35
*C(=O)N(CC)CC,*C(=O)N1CCOCC1,35
*c1ccc(C(C)=O)cc1,*c1ccc(OC)cc1,40
*c1ccc(C(C)=O)cc1,*c1ccc(OC)cc1,40
*c1nc2ccccc2o1,*c1nc2ccccc2s1,52
*C(=O)N1CCN(C)CC1,*C(=O)N1CCOCC1,53
*C(=O)N1CCN(C)CC1,*C(=O)N1CCOCC1,53
*n1cccn1,*Cl,44
*n1cccn1,*Cl,44
*Sc1ccccc1,*Oc1ccccc1,47
*Sc1ccccc1,*Oc1ccccc1,47
*NS(N)(=O)=O,*O,27
*NS(N)(=O)=O,*O,27
*Nc1ccc(OC)cc1,*Nc1ccccc1,49
*Nc1ccc(OC)cc1,*Nc1ccccc1,49
*Cc1ccc(Cl)cc1,*Cc1ccccc1,124
*Cc1ccc(Cl)cc1,*Cc1ccccc1,124
*CCCN,*CCN,57
*NS(=O)(=O)c1ccccc1,*O,36
*NS(=O)(=O)c1ccccc1,*O,36
*NS(=O)(=O)c1ccccc1,*NS(=O)(=O)c1ccc(C)cc1,22
*c1ccc(OCC)cc1,*c1ccc(OC)cc1,44
*c1ccc(OCC)cc1,*c1ccc(OC)cc1,44
*C=C1SC(=S)NC1=O,*O,23
*C=C1SC(=S)NC1=O,*O,23
*c1ccc2[nH]ccc2c1,*c1cccnc1,28
*c1ccc2[nH]ccc2c1,*c1cccnc1,28
*c1ccc2[nH]ccc2c1,*c1ccc2cc[nH]c2c1,21
